"Model","Heuristic","Stat","1\%","5\%","10\%","15\%","20\%","25\%","30\%","40\%"
"","","Lat (Naive)","1.63 ± 0.002","1.70 ± 0.002","1.68 ± 0.004","1.68 ± 0.003","1.65 ± 0.003","1.62 ± 0.003","1.64 ± 0.004","1.63 ± 0.004"
"","","Lat (Zero)","1.45 ± 0.003","1.45 ± 0.006","1.42 ± 0.002","1.42 ± 0.004","1.39 ± 0.002","1.36 ± 0.004","1.38 ± 0.006","1.37 ± 0.004"
"","L1","Acc (Ours)","75.50\%","63.88\%","16.89\%","0.99\%","0.10\%","0.10\%","0.09\%","0.10\%"
"","","Acc (Cons)","75.11\%","61.19\%","16.30\%","2.85\%","0.32\%","0.13\%","0.11\%","0.10\%"
"","","Lat (Ours)","1.50 ± 0.004","1.49 ± 0.003","1.49 ± 0.002","1.46 ± 0.001","1.42 ± 0.003","1.38 ± 0.003","1.38 ± 0.003","1.35 ± 0.004"
"","","Lat (Naive)","1.64 ± 0.001","1.73 ± 0.003","1.71 ± 0.003","1.67 ± 0.003","1.63 ± 0.002","1.60 ± 0.003","1.61 ± 0.005","1.61 ± 0.003"
"","","Lat (Zero)","1.44 ± 0.003","1.44 ± 0.001","1.42 ± 0.001","1.38 ± 0.003","1.33 ± 0.004","1.32 ± 0.003","1.31 ± 0.003","1.32 ± 0.003"
"","L2","Acc (Ours)","75.41\%","66.44\%","43.26\%","7.88\%","0.78\%","0.16\%","0.10\%","0.11\%"
"","","Acc (Cons)","75.42\%","65.88\%","41.38\%","6.92\%","0.73\%","0.22\%","0.20\%","0.10\%"
"","","Lat (Ours)","1.50 ± 0.001","1.52 ± 0.001","1.49 ± 0.006","1.46 ± 0.003","1.42 ± 0.003","1.40 ± 0.002","1.38 ± 0.003","1.39 ± 0.001"
"","","Lat (Naive)","1.64 ± 0.001","1.73 ± 0.003","1.70 ± 0.005","1.67 ± 0.003","1.63 ± 0.004","1.61 ± 0.004","1.61 ± 0.001","1.62 ± 0.006"
"","","Lat (Zero)","1.45 ± 0.005","1.44 ± 0.002","1.42 ± 0.002","1.38 ± 0.002","1.33 ± 0.004","1.32 ± 0.004","1.31 ± 0.004","1.32 ± 0.003"
"","LAMP","Acc (Ours)","61.34\%","42.75\%","13.82\%","4.54\%","1.11\%","0.60\%","0.14\%","0.12\%"
"","","Acc (Cons)","62.08\%","45.27\%","19.84\%","4.38\%","1.40\%","0.82\%","0.31\%","0.13\%"
"","","Lat (Ours)","1.47 ± 0.004","1.46 ± 0.004","1.45 ± 0.003","1.47 ± 0.002","1.51 ± 0.003","1.49 ± 0.004","1.46 ± 0.003","1.43 ± 0.003"
"","","Lat (Naive)","1.58 ± 0.005","1.58 ± 0.004","1.56 ± 0.005","1.59 ± 0.002","1.64 ± 0.001","1.62 ± 0.001","1.58 ± 0.003","1.57 ± 0.003"
"","","Lat (Zero)","1.45 ± 0.003","1.46 ± 0.002","1.44 ± 0.004","1.45 ± 0.004","1.52 ± 0.003","1.51 ± 0.002","1.46 ± 0.003","1.45 ± 0.002"
"Model","Heuristic","Stat","1\%","5\%","10\%","15\%","20\%","25\%","30\%","40\%"
"","FPGM","Acc (Ours)","69.99\%","43.69\%","2.82\%","0.28\%","0.13\%","0.10\%","0.09\%","0.10\%"
"","","Acc (Cons)","69.54\%","44.50\%","4.18\%","0.38\%","0.14\%","0.10\%","0.10\%","0.13\%"
"","","Lat (Ours)","1.48 ± 0.002","1.49 ± 0.006","1.47 ± 0.005","1.45 ± 0.002","1.46 ± 0.005","1.39 ± 0.007","1.36 ± 0.004","1.26 ± 0.004"
"","","Lat (Naive)","1.60 ± 0.002","1.69 ± 0.004","1.67 ± 0.005","1.66 ± 0.002","1.58 ± 0.002","1.60 ± 0.007","1.59 ± 0.006","1.48 ± 0.005"
"","","Lat (Zero)","1.45 ± 0.003","1.44 ± 0.005","1.43 ± 0.004","1.36 ± 0.004","1.31 ± 0.007","1.35 ± 0.004","1.31 ± 0.005","1.21 ± 0.008"
"","HRank","Acc (Ours)","68.52\%","45.15\%","19.83\%","3.00\%","1.53\%","0.21\%","0.15\%","0.11\%"
"","","Acc (Cons)","68.51\%","45.71\%","21.60\%","3.64\%","1.68\%","0.26\%","0.20\%","0.10\%"
"","","Lat (Ours)","1.44 ± 0.008","1.45 ± 0.002","1.45 ± 0.003","1.42 ± 0.003","1.33 ± 0.004","1.38 ± 0.005","1.36 ± 0.003","1.26 ± 0.001"
"","","Lat (Naive)","1.57 ± 0.004","1.61 ± 0.003","1.62 ± 0.002","1.60 ± 0.002","1.52 ± 0.005","1.57 ± 0.003","1.56 ± 0.004","1.46 ± 0.002"
"","","Lat (Zero)","1.45 ± 0.002","1.44 ± 0.006","1.41 ± 0.004","1.40 ± 0.004","1.32 ± 0.002","1.35 ± 0.002","1.33 ± 0.002","1.24 ± 0.004"
"","L1","Acc (Ours)","69.35\%","41.83\%","2.37\%","0.23\%","0.13\%","0.11\%","0.11\%","0.10\%"
"","","Acc (Cons)","69.35\%","42.92\%","2.81\%","0.16\%","0.12\%","0.13\%","0.10\%","0.16\%"
"","","Lat (Ours)","1.49 ± 0.002","1.50 ± 0.005","1.47 ± 0.005","1.46 ± 0.005","1.48 ± 0.007","1.39 ± 0.004","1.36 ± 0.003","1.28 ± 0.003"
"","","Lat (Naive)","1.61 ± 0.004","1.70 ± 0.003","1.68 ± 0.003","1.66 ± 0.002","1.58 ± 0.004","1.60 ± 0.002","1.59 ± 0.006","1.48 ± 0.006"
"","","Lat (Zero)","1.45 ± 0.005","1.45 ± 0.004","1.44 ± 0.004","1.37 ± 0.004","1.31 ± 0.004","1.36 ± 0.011","1.31 ± 0.012","1.22 ± 0.007"
"","L2","Acc (Ours)","69.48\%","46.52\%","3.08\%","0.27\%","0.18\%","0.10\%","0.10\%","0.10\%"
"","","Acc (Cons)","69.60\%","47.78\%","3.89\%","0.39\%","0.14\%","0.10\%","0.10\%","0.10\%"
"","","Lat (Ours)","1.48 ± 0.004","1.50 ± 0.005","1.47 ± 0.007","1.45 ± 0.006","1.46 ± 0.005","1.38 ± 0.002","1.37 ± 0.002","1.27 ± 0.004"
"","","Lat (Naive)","1.60 ± 0.005","1.69 ± 0.005","1.67 ± 0.004","1.66 ± 0.004","1.58 ± 0.008","1.60 ± 0.006","1.58 ± 0.004","1.47 ± 0.003"
"","","Lat (Zero)","1.45 ± 0.003","1.44 ± 0.005","1.44 ± 0.004","1.37 ± 0.006","1.31 ± 0.002","1.35 ± 0.003","1.30 ± 0.003","1.21 ± 0.002"
"","LAMP","Acc (Ours)","5.28\%","1.15\%","0.29\%","0.24\%","0.15\%","0.10\%","0.14\%","0.10\%"
"","","Acc (Cons)","5.24\%","1.87\%","0.27\%","0.26\%","0.18\%","0.13\%","0.10\%","0.13\%"
"","","Lat (Ours)","1.42 ± 0.006","1.41 ± 0.004","1.39 ± 0.004","1.36 ± 0.003","1.35 ± 0.001","1.32 ± 0.004","1.31 ± 0.001","1.28 ± 0.002"
"","","Lat (Naive)","1.51 ± 0.005","1.50 ± 0.001","1.47 ± 0.003","1.45 ± 0.004","1.45 ± 0.004","1.42 ± 0.003","1.42 ± 0.001","1.39 ± 0.004"
"","","Lat (Zero)","1.43 ± 0.004","1.41 ± 0.003","1.39 ± 0.004","1.37 ± 0.005","1.36 ± 0.003","1.32 ± 0.004","1.31 ± 0.004","1.29 ± 0.006"
"","FPGM","Acc (Ours)","73.67\%","66.05\%","45.97\%","10.13\%","0.29\%","0.20\%","0.22\%","0.10\%"
"","","Acc (Cons)","73.64\%","66.13\%","47.13\%","1.20\%","0.21\%","0.15\%","0.16\%","0.13\%"
"","","Lat (Ours)","1.79 ± 0.002","1.71 ± 0.001","1.67 ± 0.002","1.75 ± 0.005","1.76 ± 0.003","1.59 ± 0.003","1.58 ± 0.005","1.54 ± 0.005"
"","","Lat (Naive)","1.68 ± 0.003","1.77 ± 0.003","1.82 ± 0.009","1.81 ± 0.007","1.76 ± 0.007","1.82 ± 0.004","1.81 ± 0.006","1.79 ± 0.004"
"","","Lat (Zero)","1.54 ± 0.002","1.55 ± 0.003","1.49 ± 0.001","1.49 ± 0.004","1.47 ± 0.006","1.48 ± 0.003","1.44 ± 0.002","1.41 ± 0.004"
"","HRank","Acc (Ours)","68.11\%","33.63\%","5.46\%","0.96\%","0.53\%","0.22\%","0.16\%","0.10\%"
"","","Acc (Cons)","68.03\%","49.05\%","6.72\%","1.02\%","0.30\%","0.24\%","0.21\%","0.14\%"
"","","Lat (Ours)","1.57 ± 0.003","1.58 ± 0.003","1.59 ± 0.005","1.58 ± 0.002","1.54 ± 0.002","1.56 ± 0.004","1.58 ± 0.005","1.54 ± 0.003"
"","","Lat (Naive)","1.64 ± 0.006","1.72 ± 0.005","1.75 ± 0.006","1.76 ± 0.005","1.74 ± 0.003","1.79 ± 0.006","1.79 ± 0.006","1.78 ± 0.005"
"","","Lat (Zero)","1.56 ± 0.003","1.54 ± 0.004","1.55 ± 0.006","1.53 ± 0.003","1.49 ± 0.002","1.53 ± 0.004","1.52 ± 0.004","1.48 ± 0.003"
"","L1","Acc (Ours)","73.72\%","64.88\%","39.87\%","2.23\%","0.49\%","0.16\%","0.21\%","0.14\%"
"","","Acc (Cons)","73.69\%","52.93\%","22.81\%","1.06\%","0.14\%","0.18\%","0.15\%","0.15\%"
"","","Lat (Ours)","1.80 ± 0.005","1.75 ± 0.004","1.78 ± 0.005","1.75 ± 0.001","1.71 ± 0.004","1.69 ± 0.001","1.58 ± 0.003","1.60 ± 0.004"
"","","Lat (Naive)","1.77 ± 0.004","1.88 ± 0.008","1.89 ± 0.005","1.86 ± 0.003","1.82 ± 0.004","1.84 ± 0.003","1.84 ± 0.003","1.81 ± 0.006"
"","","Lat (Zero)","1.56 ± 0.001","1.55 ± 0.002","1.49 ± 0.006","1.47 ± 0.002","1.45 ± 0.002","1.48 ± 0.003","1.43 ± 0.003","1.40 ± 0.004"
"","L2","Acc (Ours)","73.67\%","66.30\%","47.81\%","13.34\%","0.41\%","0.20\%","0.13\%","0.14\%"
"","","Acc (Cons)","73.59\%","67.34\%","48.24\%","1.81\%","0.24\%","0.21\%","0.16\%","0.14\%"
"","","Lat (Ours)","1.81 ± 0.005","1.72 ± 0.002","1.78 ± 0.005","1.75 ± 0.006","1.76 ± 0.003","1.60 ± 0.005","1.58 ± 0.005","1.60 ± 0.006"
"","","Lat (Naive)","1.78 ± 0.002","1.89 ± 0.004","1.89 ± 0.004","1.87 ± 0.004","1.82 ± 0.002","1.85 ± 0.003","1.85 ± 0.003","1.81 ± 0.008"
"","","Lat (Zero)","1.56 ± 0.002","1.55 ± 0.004","1.49 ± 0.003","1.48 ± 0.005","1.45 ± 0.002","1.47 ± 0.002","1.44 ± 0.003","1.41 ± 0.003"
"","LAMP","Acc (Ours)","72.49\%","0.08\%","0.09\%","0.17\%","0.18\%","0.10\%","0.10\%","0.10\%"
"","","Acc (Cons)","68.16\%","0.11\%","0.06\%","0.10\%","0.11\%","0.12\%","0.12\%","0.08\%"
"","","Lat (Ours)","1.61 ± 0.004","1.65 ± 0.003","1.75 ± 0.002","1.63 ± 0.002","1.63 ± 0.004","1.64 ± 0.004","1.62 ± 0.003","1.53 ± 0.003"
"","","Lat (Naive)","1.64 ± 0.003","1.77 ± 0.002","1.76 ± 0.007","1.73 ± 0.006","1.75 ± 0.008","1.73 ± 0.005","1.72 ± 0.005","1.70 ± 0.012"
"","","Lat (Zero)","1.54 ± 0.003","1.53 ± 0.003","1.50 ± 0.002","1.50 ± 0.004","1.48 ± 0.001","1.47 ± 0.004","1.44 ± 0.001","1.40 ± 0.004"
"","FPGM","Acc (Ours)","66.74\%","50.26\%","24.04\%","2.09\%","0.41\%","0.19\%","0.11\%","0.12\%"
"","","Acc (Cons)","66.45\%","48.29\%","18.80\%","1.37\%","0.37\%","0.23\%","0.14\%","0.09\%"
"","","Lat (Ours)","1.27 ± 0.005","1.18 ± 0.003","1.16 ± 0.002","1.24 ± 0.004","1.20 ± 0.001","1.25 ± 0.005","1.25 ± 0.003","1.19 ± 0.002"
"","","Lat (Naive)","1.24 ± 0.003","1.34 ± 0.002","1.36 ± 0.001","1.38 ± 0.003","1.37 ± 0.004","1.39 ± 0.005","1.38 ± 0.002","1.37 ± 0.001"
"","","Lat (Zero)","1.12 ± 0.004","1.12 ± 0.000","1.18 ± 0.004","1.13 ± 0.002","1.11 ± 0.003","1.12 ± 0.002","1.11 ± 0.001","1.07 ± 0.003"
"","HRank","Acc (Ours)","67.23\%","54.81\%","29.53\%","1.11\%","0.26\%","0.19\%","0.15\%","0.09\%"
"","","Acc (Cons)","67.20\%","63.55\%","48.31\%","31.20\%","4.08\%","3.11\%","0.80\%","0.30\%"
"","","Lat (Ours)","1.14 ± 0.005","1.14 ± 0.003","1.14 ± 0.001","1.14 ± 0.002","1.14 ± 0.002","1.15 ± 0.001","1.16 ± 0.003","1.12 ± 0.002"
"","","Lat (Naive)","1.20 ± 0.004","1.26 ± 0.001","1.28 ± 0.003","1.28 ± 0.002","1.29 ± 0.006","1.29 ± 0.004","1.31 ± 0.004","1.29 ± 0.004"
"","","Lat (Zero)","1.12 ± 0.002","1.12 ± 0.003","1.11 ± 0.003","1.12 ± 0.002","1.11 ± 0.003","1.11 ± 0.004","1.12 ± 0.003","1.10 ± 0.002"
"","L1","Acc (Ours)","66.74\%","52.21\%","12.74\%","3.60\%","0.43\%","0.44\%","0.21\%","0.11\%"
"","","Acc (Cons)","64.43\%","46.59\%","1.02\%","0.75\%","0.26\%","0.12\%","0.15\%","0.11\%"
"","","Lat (Ours)","1.27 ± 0.003","1.22 ± 0.006","1.25 ± 0.002","1.21 ± 0.003","1.20 ± 0.001","1.24 ± 0.002","1.25 ± 0.002","1.17 ± 0.002"
"","","Lat (Naive)","1.25 ± 0.006","1.38 ± 0.003","1.39 ± 0.004","1.40 ± 0.006","1.38 ± 0.004","1.40 ± 0.003","1.40 ± 0.003","1.37 ± 0.004"
"","","Lat (Zero)","1.12 ± 0.004","1.12 ± 0.001","1.19 ± 0.007","1.13 ± 0.007","1.11 ± 0.007","1.12 ± 0.005","1.11 ± 0.002","1.07 ± 0.003"
"","L2","Acc (Ours)","66.86\%","53.90\%","24.34\%","2.21\%","0.43\%","0.21\%","0.19\%","0.17\%"
"","","Acc (Cons)","66.89\%","50.20\%","23.69\%","3.00\%","0.28\%","0.20\%","0.25\%","0.05\%"
"","","Lat (Ours)","1.27 ± 0.004","1.21 ± 0.003","1.21 ± 0.002","1.25 ± 0.004","1.24 ± 0.003","1.23 ± 0.002","1.20 ± 0.003","1.17 ± 0.002"
"","","Lat (Naive)","1.25 ± 0.003","1.37 ± 0.002","1.38 ± 0.003","1.39 ± 0.003","1.38 ± 0.004","1.40 ± 0.003","1.40 ± 0.005","1.37 ± 0.002"
